row_names,AUC,PRAUC
45_wine_all_Class0_simulation1,0.8319327731092436,0.2187703486680094
45_wine_all_Class0_simulation2,0.8029878618113913,0.1889325839453716
45_wine_all_Class0_simulation3,0.9047619047619048,0.3094887893133507
45_wine_all_Class0_simulation4,0.8450046685340803,0.2142731976828086
45_wine_all_Class0_simulation5,0.7385620915032678,0.1634249776619768
45_wine_all_Average,0.8246498599439775,0.2189779794543034
45_wine_all_Std,0.0496078703769531,0.045098496986832
46_WPBC_all_Class0_simulation1,0.5329012258700859,0.27453856542299
46_WPBC_all_Class0_simulation2,0.5228969987318586,0.2483602524545687
46_WPBC_all_Class0_simulation3,0.5572777229815414,0.2868125556837979
46_WPBC_all_Class0_simulation4,0.5321967028321826,0.2655778128447176
46_WPBC_all_Class0_simulation5,0.5485416373115402,0.2713578670249952
46_WPBC_all_Average,0.5387628575454417,0.2693294106862139
46_WPBC_all_Std,0.0113109339825032,0.0114796223116199
47_yeast_all_Class0_simulation1,0.4143744867121663,0.2994553542870929
47_yeast_all_Class0_simulation2,0.4191523620342987,0.3030437412798631
47_yeast_all_Class0_simulation3,0.4133388084035585,0.3029342233619798
47_yeast_all_Class0_simulation4,0.4141681601741234,0.31237683125769
47_yeast_all_Class0_simulation5,0.4316614141054531,0.3086435974102081
47_yeast_all_Average,0.41853904628592,0.3052907495193667
47_yeast_all_Std,0.0062724711939967,0.0042053189030283
CIFAR10_0_all_Class0_simulation1,0.8901269961977185,0.3988780194940469
CIFAR10_0_all_Class0_simulation2,0.903119391634981,0.4500870302164491
CIFAR10_0_all_Class0_simulation3,0.9026205323193915,0.4471709687520961
CIFAR10_0_all_Class0_simulation4,0.9008015209125474,0.43848093169527597
CIFAR10_0_all_Class0_simulation5,0.9018030418250951,0.44502011004932085
CIFAR10_0_all_Average,0.8996942965779468,0.4359274120414378
CIFAR10_0_all_Std,0.00442530828632777,0.017266380928380558
CIFAR10_1_all_Class0_simulation1,0.9077019011406844,0.5373361248565638
CIFAR10_1_all_Class0_simulation2,0.9241079847908745,0.5910220188862184
CIFAR10_1_all_Class0_simulation3,0.9235756653992396,0.6104767950323948
CIFAR10_1_all_Class0_simulation4,0.9239551330798479,0.6100384763555305
CIFAR10_1_all_Class0_simulation5,0.9233406844106464,0.5979368245778587
CIFAR10_1_all_Average,0.9205362737642586,0.5893620479417132
CIFAR10_1_all_Std,0.0058632962842664815,0.024685779332149348
CIFAR10_2_all_Class0_simulation1,0.8531764258555133,0.25034749311367205
CIFAR10_2_all_Class0_simulation2,0.853732319391635,0.2537407365562373
CIFAR10_2_all_Class0_simulation3,0.8519155893536122,0.246700336680479
CIFAR10_2_all_Class0_simulation4,0.8515787072243346,0.24808349150148998
CIFAR10_2_all_Class0_simulation5,0.8554410646387832,0.2579038145677663
CIFAR10_2_all_Average,0.8531688212927756,0.25135517448392897
CIFAR10_2_all_Std,0.0012635750079477974,0.0036959987285001324
CIFAR10_3_all_Class0_simulation1,0.8912372623574145,0.4601143594149508
CIFAR10_3_all_Class0_simulation2,0.8871619771863118,0.4482529669739182
CIFAR10_3_all_Class0_simulation3,0.8904794676806083,0.4589159448055335
CIFAR10_3_all_Class0_simulation4,0.8877916349809887,0.4512774929887792
CIFAR10_3_all_Class0_simulation5,0.8873148288973385,0.454494946687769
CIFAR10_3_all_Average,0.8887970342205322,0.4546111421741902
CIFAR10_3_all_Std,0.00156346130235383,0.004090025180314398
CIFAR10_4_all_Class0_simulation1,0.9189992395437262,0.4888813973261405
