row_names,AUC,PRAUC
MVTec-AD_zipper_all_Class0_simulation1,0.7933298319327732,0.29426797214695466
MVTec-AD_zipper_all_Class0_simulation2,0.7463235294117647,0.12772585350952226
MVTec-AD_zipper_all_Class0_simulation3,0.8631827731092436,0.1940976840811957
MVTec-AD_zipper_all_Class0_simulation4,0.8878676470588236,0.3083824869280366
MVTec-AD_zipper_all_Class0_simulation5,0.8820903361344538,0.2859431553665394
MVTec-AD_zipper_all_Average,0.8345588235294116,0.24208343040644972
MVTec-AD_zipper_all_Std,0.050671659933118056,0.06380014891573803
SVHN_0_all_Class0_simulation1,0.5430445867794291,0.05714082017423149
SVHN_0_all_Class0_simulation2,0.5407561718798581,0.05690630015626086
SVHN_0_all_Class0_simulation3,0.5492071388595237,0.05737726918804461
SVHN_0_all_Class0_simulation4,0.5440908525589205,0.0569712834207057
SVHN_0_all_Class0_simulation5,0.5436578881910329,0.05733690206222678
SVHN_0_all_Average,0.5441513276537528,0.0571465150002939
SVHN_0_all_Std,0.00253509778840881,0.0001722093867643886
SVHN_1_all_Class0_simulation1,0.5518457894736842,0.05672774320969239
SVHN_1_all_Class0_simulation2,0.5531970526315789,0.05709512123125132
SVHN_1_all_Class0_simulation3,0.5517171578947369,0.056798605820988994
SVHN_1_all_Class0_simulation4,0.5505186315789474,0.05667639011106121
SVHN_1_all_Class0_simulation5,0.5509298947368422,0.056680437182063115
SVHN_1_all_Average,0.5516417052631579,0.05679565951101141
SVHN_1_all_Std,0.0008400811098333011,0.00014247806934702693
SVHN_2_all_Class0_simulation1,0.5424357894736842,0.05846138390033424
SVHN_2_all_Class0_simulation2,0.5422612631578948,0.05876174611675
SVHN_2_all_Class0_simulation3,0.5436974736842105,0.058637093585220956
SVHN_2_all_Class0_simulation4,0.5413298947368421,0.058375628739824534
SVHN_2_all_Class0_simulation5,0.5387433684210526,0.05828319977219874
SVHN_2_all_Average,0.5416935578947368,0.0585038104228657
SVHN_2_all_Std,0.0015124342573564894,0.00015874236801395643
SVHN_3_all_Class0_simulation1,0.5208079756534678,0.053448250581591084
SVHN_3_all_Class0_simulation2,0.5216129709156463,0.053575663642336124
SVHN_3_all_Class0_simulation3,0.521699328543118,0.05345646647589331
SVHN_3_all_Class0_simulation4,0.5210242646503214,0.05346072767128086
SVHN_3_all_Class0_simulation5,0.5202723214062392,0.05337538448639834
SVHN_3_all_Average,0.5210833722337586,0.05346329857149994
SVHN_3_all_Std,0.0004825310640384126,5.864373305802188e-05
SVHN_4_all_Class0_simulation1,0.5319664269569453,0.05341978560396385
SVHN_4_all_Class0_simulation2,0.5334988178698672,0.053438892000154434
SVHN_4_all_Class0_simulation3,0.5315316794457123,0.0531929427077204
SVHN_4_all_Class0_simulation4,0.5327594734595367,0.05342119504489298
SVHN_4_all_Class0_simulation5,0.5338429217221884,0.053472143538817074
SVHN_4_all_Average,0.5327198638908499,0.05338899177910974
SVHN_4_all_Std,0.0008009417998963861,9.112701353203718e-05
SVHN_5_all_Class0_simulation1,0.5412261307823596,0.05859882484901504
SVHN_5_all_Class0_simulation2,0.5420738863975364,0.058563461685659866
SVHN_5_all_Class0_simulation3,0.5439572525653438,0.058587434519299667
SVHN_5_all_Class0_simulation4,0.5454988271108392,0.059011416482298185
SVHN_5_all_Class0_simulation5,0.5449085692357836,0.058959812031169526
SVHN_5_all_Average,0.5435329332183725,0.058744189913488454
SVHN_5_all_Std,0.0014937266182960861,0.00018086315481683732
SVHN_6_all_Class0_simulation1,0.548050355401093,0.06352625185623564
SVHN_6_all_Class0_simulation2,0.5493178839871983,0.06342882412267248
SVHN_6_all_Class0_simulation3,0.5482441103428592,0.06366675388461895
SVHN_6_all_Class0_simulation4,0.5487772264850241,0.06388848640139194
SVHN_6_all_Class0_simulation5,0.5485782506017135,0.06366921127089434
SVHN_6_all_Average,0.5485935653635776,0.06363590550716267
SVHN_6_all_Std,0.0004032780870221455,0.0001418712017894485
SVHN_7_all_Class0_simulation1,0.5458560546649401,0.05998733149647704
SVHN_7_all_Class0_simulation2,0.5407692120637352,0.05921886665116169
SVHN_7_all_Class0_simulation3,0.5418102897995659,0.059318556938472045
SVHN_7_all_Class0_simulation4,0.5406540095931134,0.058800087813181114
SVHN_7_all_Class0_simulation5,0.5434690229979391,0.0598540324813541
SVHN_7_all_Average,0.5425117178238588,0.059435775076129196
SVHN_7_all_Std,0.0017832755241802218,0.0003966613574037918
SVHN_8_all_Class0_simulation1,0.5279802531929615,0.05458591539875972
SVHN_8_all_Class0_simulation2,0.5268530396245115,0.054797633518718566
SVHN_8_all_Class0_simulation3,0.5251528694578977,0.05420298608991725
SVHN_8_all_Class0_simulation4,0.5243921685958449,0.054111264064395904
SVHN_8_all_Class0_simulation5,0.5261304860033286,0.05463648553711811
SVHN_8_all_Average,0.5261017633749088,0.0544668569217819
SVHN_8_all_Std,0.0011487006401053816,0.00024098272458658398
SVHN_9_all_Class0_simulation1,0.5571503037789488,0.06675122947413761
SVHN_9_all_Class0_simulation2,0.5579825748715455,0.06692674293986728
SVHN_9_all_Class0_simulation3,0.5587368753038884,0.0671960346743332
SVHN_9_all_Class0_simulation4,0.5583040943357381,0.06701746723811602
SVHN_9_all_Class0_simulation5,0.5579860791708827,0.06710101031501896
SVHN_9_all_Average,0.5580319854922007,0.06699849692829461
SVHN_9_all_Std,0.00047483757093095364,0.00013915210919645662
20news_0_all_Class0_simulation1,0.733107151703882,0.11506472754687319
20news_0_all_Class0_simulation2,0.7318088927421353,0.11379885084222849
