row_names,AUC,PRAUC
MNIST-C_scale_all_Class0_simulation1,0.5687505263157895,0.0597302952400365
MNIST-C_scale_all_Class0_simulation2,0.5627610526315789,0.0579889070411808
MNIST-C_scale_all_Class0_simulation3,0.5665328421052631,0.0590710199523496
MNIST-C_scale_all_Class0_simulation4,0.5742382105263159,0.0603686405595721
MNIST-C_scale_all_Class0_simulation5,0.5589082105263158,0.0578345849956435
MNIST-C_scale_all_Average,0.5662381684210527,0.0589986895577565
MNIST-C_scale_all_Std,0.0047647676650147,0.0008936856708798
MNIST-C_shear_all_Class0_simulation1,0.6712202105263158,0.1013853230281559
MNIST-C_shear_all_Class0_simulation2,0.6867473684210526,0.108410604302262
MNIST-C_shear_all_Class0_simulation3,0.6876178947368421,0.1087243763099725
MNIST-C_shear_all_Class0_simulation4,0.6791682105263157,0.1044802664118467
MNIST-C_shear_all_Class0_simulation5,0.6829019999999999,0.1072039754179264
MNIST-C_shear_all_Average,0.6815311368421051,0.1060409090940327
MNIST-C_shear_all_Std,0.0054472559087965,0.0025258418448427
MNIST-C_shot_noise_all_Class0_simulation1,0.748748,0.1330938810883848
MNIST-C_shot_noise_all_Class0_simulation2,0.7535145263157894,0.1397904448939066
MNIST-C_shot_noise_all_Class0_simulation3,0.756541052631579,0.1357525981663582
MNIST-C_shot_noise_all_Class0_simulation4,0.7639421052631579,0.1410894323696424
MNIST-C_shot_noise_all_Class0_simulation5,0.7584029473684211,0.1400137323427974
MNIST-C_shot_noise_all_Average,0.7562297263157894,0.1379480177722179
MNIST-C_shot_noise_all_Std,0.0046124675708108,0.0027662462607258
MNIST-C_spatter_all_Class0_simulation1,0.8453124210526317,0.233332040698386
MNIST-C_spatter_all_Class0_simulation2,0.8300109473684212,0.2028415230277763
MNIST-C_spatter_all_Class0_simulation3,0.8475015789473684,0.2428902302987753
MNIST-C_spatter_all_Class0_simulation4,0.844594105263158,0.2293732496618813
MNIST-C_spatter_all_Class0_simulation5,0.8410513684210527,0.222632512874272
MNIST-C_spatter_all_Average,0.8416940842105264,0.2262139113122182
MNIST-C_spatter_all_Std,0.005658890479951,0.0122327684833082
MNIST-C_stripe_all_Class0_simulation1,0.987206105263158,0.7289551983663763
MNIST-C_stripe_all_Class0_simulation2,0.9859374736842106,0.7174163788872898
MNIST-C_stripe_all_Class0_simulation3,0.9825924210526316,0.6777324100317208
MNIST-C_stripe_all_Class0_simulation4,0.9847103157894735,0.6961381841849829
MNIST-C_stripe_all_Class0_simulation5,0.9817835789473685,0.6700609656725486
MNIST-C_stripe_all_Average,0.9844459789473684,0.6980606274285837
MNIST-C_stripe_all_Std,0.0018455703013963,0.0205346572772831
MNIST-C_translate_all_Class0_simulation1,0.6348873684210525,0.0754367616621471
MNIST-C_translate_all_Class0_simulation2,0.6319433684210527,0.0762961200415075
MNIST-C_translate_all_Class0_simulation3,0.6302524210526316,0.0745765146834265
MNIST-C_translate_all_Class0_simulation4,0.630590947368421,0.0749037645814646
MNIST-C_translate_all_Class0_simulation5,0.6241833684210526,0.0738833297739781
MNIST-C_translate_all_Average,0.6303714947368421,0.0750192981485048
MNIST-C_translate_all_Std,0.0031942434500938,0.0007421117707436
MNIST-C_zigzag_all_Class0_simulation1,0.8092225263157895,0.1670089777326798
MNIST-C_zigzag_all_Class0_simulation2,0.8124014736842106,0.1703038763406938
MNIST-C_zigzag_all_Class0_simulation3,0.8240551578947368,0.1799749914427918
MNIST-C_zigzag_all_Class0_simulation4,0.8251941052631577,0.1832889149842895
MNIST-C_zigzag_all_Class0_simulation5,0.8063193684210526,0.1615373695251796
MNIST-C_zigzag_all_Average,0.8154385263157895,0.1724228260051269
MNIST-C_zigzag_all_Std,0.0070762401240791,0.0073869248910405
MVTec-AD_bottle_all_Class0_simulation1,0.977438136826783,0.9234208523592085
MVTec-AD_bottle_all_Class0_simulation2,0.9996360989810772,0.9935897435897436
MVTec-AD_bottle_all_Class0_simulation3,0.9916302765647744,0.9391339869281043
MVTec-AD_bottle_all_Class0_simulation4,0.9672489082969432,0.8542520796197267
MVTec-AD_bottle_all_Class0_simulation5,0.9588791848617176,0.8901259559154296
MVTec-AD_bottle_all_Average,0.978966521106259,0.9201045236824426
MVTec-AD_bottle_all_Std,0.0137279619614633,0.0428338942243352
