row_names,AUC,PRAUC
MVTec-AD_zipper_all_Class0_simulation1,0.7933298319327732,0.29426797214695466
MVTec-AD_zipper_all_Class0_simulation2,0.7463235294117647,0.12772585350952226
MVTec-AD_zipper_all_Class0_simulation3,0.8631827731092436,0.1940976840811957
MVTec-AD_zipper_all_Class0_simulation4,0.8878676470588236,0.3083824869280366
MVTec-AD_zipper_all_Class0_simulation5,0.8820903361344538,0.2859431553665394
MVTec-AD_zipper_all_Average,0.8345588235294116,0.24208343040644972
MVTec-AD_zipper_all_Std,0.050671659933118056,0.06380014891573803
SVHN_0_all_Class0_simulation1,0.5430445867794291,0.05714082017423149
SVHN_0_all_Class0_simulation2,0.5407561718798581,0.05690630015626086
SVHN_0_all_Class0_simulation3,0.5492071388595237,0.05737726918804461
SVHN_0_all_Class0_simulation4,0.5440908525589205,0.0569712834207057
SVHN_0_all_Class0_simulation5,0.5436578881910329,0.05733690206222678
SVHN_0_all_Average,0.5441513276537528,0.0571465150002939
SVHN_0_all_Std,0.00253509778840881,0.0001722093867643886
