row_names,AUC,PRAUC
22_magic.gamma_all_Class0_simulation1,0.8301712537060377,0.7683857757176967
22_magic.gamma_all_Class0_simulation2,0.8318905900901052,0.7697100351560663
22_magic.gamma_all_Class0_simulation3,0.8268511962128869,0.7656793706489953
22_magic.gamma_all_Class0_simulation4,0.8401593716847688,0.7760354556651392
22_magic.gamma_all_Class0_simulation5,0.8146233759172055,0.7548408040905998
22_magic.gamma_all_Average,0.828739157522201,0.7669302882556994
22_magic.gamma_all_Std,0.007585330210941376,0.006330744194971749
