row_names,AUC,PRAUC
MNIST-C_scale_all_Class0_simulation1,0.5687505263157895,0.059730295240036535
MNIST-C_scale_all_Class0_simulation2,0.5627610526315789,0.057988907041180836
MNIST-C_scale_all_Class0_simulation3,0.5665328421052631,0.05907101995234968
MNIST-C_scale_all_Class0_simulation4,0.5742382105263159,0.060368640559572126
MNIST-C_scale_all_Class0_simulation5,0.5589082105263158,0.05783458499564356
MNIST-C_scale_all_Average,0.5662381684210527,0.058998689557756556
MNIST-C_scale_all_Std,0.004764767665014728,0.0008936856708798789
MNIST-C_shear_all_Class0_simulation1,0.6712202105263158,0.1013853230281559
MNIST-C_shear_all_Class0_simulation2,0.6867473684210526,0.10841060430226206
MNIST-C_shear_all_Class0_simulation3,0.6876178947368421,0.10872437630997256
MNIST-C_shear_all_Class0_simulation4,0.6791682105263157,0.10448026641184677
MNIST-C_shear_all_Class0_simulation5,0.6829019999999999,0.10720397541792642
MNIST-C_shear_all_Average,0.6815311368421051,0.10604090909403274
MNIST-C_shear_all_Std,0.005447255908796532,0.0025258418448427457
MNIST-C_shot_noise_all_Class0_simulation1,0.748748,0.1330938810883848
MNIST-C_shot_noise_all_Class0_simulation2,0.7535145263157894,0.13979044489390668
MNIST-C_shot_noise_all_Class0_simulation3,0.756541052631579,0.1357525981663582
MNIST-C_shot_noise_all_Class0_simulation4,0.7639421052631579,0.14108943236964244
MNIST-C_shot_noise_all_Class0_simulation5,0.7584029473684211,0.1400137323427974
MNIST-C_shot_noise_all_Average,0.7562297263157894,0.13794801777221793
MNIST-C_shot_noise_all_Std,0.004612467570810895,0.0027662462607258432
MNIST-C_spatter_all_Class0_simulation1,0.8453124210526317,0.23333204069838606
MNIST-C_spatter_all_Class0_simulation2,0.8300109473684212,0.2028415230277763
MNIST-C_spatter_all_Class0_simulation3,0.8475015789473684,0.24289023029877532
MNIST-C_spatter_all_Class0_simulation4,0.844594105263158,0.22937324966188136
MNIST-C_spatter_all_Class0_simulation5,0.8410513684210527,0.22263251287427205
MNIST-C_spatter_all_Average,0.8416940842105264,0.2262139113122182
MNIST-C_spatter_all_Std,0.00565889047995109,0.012232768483308294
